filename,width,height,class,xmin,ymin,xmax,ymax
image (1).jpg,581,448,blast-of-rice,49,292,98,358
image (1).jpg,581,448,blast-of-rice,96,335,133,385
image (1).jpg,581,448,blast-of-rice,106,225,140,313
image (1).jpg,581,448,blast-of-rice,93,2,144,70
image (1).jpg,581,448,blast-of-rice,84,201,118,250
image (1).jpg,581,448,blast-of-rice,85,392,111,416
image (10).jpg,200,200,blast-of-rice,81,82,98,111
image (10).jpg,200,200,blast-of-rice,108,80,125,105
image (10).jpg,200,200,blast-of-rice,97,123,111,137
image (10).jpg,200,200,blast-of-rice,109,51,122,68
image (10).jpg,200,200,blast-of-rice,82,50,94,67
image (10).jpg,200,200,blast-of-rice,5,24,24,47
image (11).jpg,700,579,blast-of-rice,190,180,212,204
image (11).jpg,700,579,blast-of-rice,197,158,214,174
image (11).jpg,700,579,blast-of-rice,229,178,243,195
image (11).jpg,700,579,blast-of-rice,232,234,243,255
image (11).jpg,700,579,blast-of-rice,224,250,235,268
image (11).jpg,700,579,blast-of-rice,224,275,233,294
image (11).jpg,700,579,blast-of-rice,337,131,355,175
image (11).jpg,700,579,blast-of-rice,340,195,357,241
image (11).jpg,700,579,blast-of-rice,340,247,359,289
image (11).jpg,700,579,blast-of-rice,375,131,396,169
image (11).jpg,700,579,blast-of-rice,371,176,391,220
image (11).jpg,700,579,blast-of-rice,365,228,390,264
image (11).jpg,700,579,blast-of-rice,413,147,422,166
image (11).jpg,700,579,blast-of-rice,410,199,426,221
image (11).jpg,700,579,blast-of-rice,413,259,426,275
image (11).jpg,700,579,blast-of-rice,445,229,463,250
image (11).jpg,700,579,blast-of-rice,557,163,568,222
image (11).jpg,700,579,blast-of-rice,552,229,570,294
image (11).jpg,700,579,blast-of-rice,584,192,596,234
image (11).jpg,700,579,blast-of-rice,576,251,596,287
image (11).jpg,700,579,blast-of-rice,623,205,638,242
image (11).jpg,700,579,blast-of-rice,621,267,637,292
image (11).jpg,700,579,blast-of-rice,355,438,371,451
image (11).jpg,700,579,blast-of-rice,355,456,369,469
image (11).jpg,700,579,blast-of-rice,352,481,367,503
image (11).jpg,700,579,blast-of-rice,341,482,351,502
image (11).jpg,700,579,blast-of-rice,390,458,403,510
image (11).jpg,700,579,blast-of-rice,382,516,390,565
image (11).jpg,700,579,blast-of-rice,419,436,432,478
image (11).jpg,700,579,blast-of-rice,413,510,428,555
image (12).jpg,767,514,blast-of-rice,474,40,541,284
image (12).jpg,767,514,blast-of-rice,341,14,374,105
image (12).jpg,767,514,blast-of-rice,134,62,225,245
image (12).jpg,767,514,blast-of-rice,207,40,283,226
image (12).jpg,767,514,blast-of-rice,302,227,337,332
image (12).jpg,767,514,blast-of-rice,406,332,460,485
image (12).jpg,767,514,blast-of-rice,210,373,291,498
image (12).jpg,767,514,blast-of-rice,306,407,359,505
image (13).jpg,768,576,blast-of-rice,434,116,510,460
image (13).jpg,768,576,blast-of-rice,278,1,375,177
image (13).jpg,768,576,blast-of-rice,321,185,428,409
image (13).jpg,768,576,blast-of-rice,294,408,402,575
image (14).jpg,800,568,blast-of-rice,306,7,378,189
image (14).jpg,800,568,blast-of-rice,450,136,550,480
image (14).jpg,800,568,blast-of-rice,326,195,443,470
image (14).jpg,800,568,blast-of-rice,294,343,392,568
image (15).jpg,320,210,blast-of-rice,20,79,152,112
image (15).jpg,320,210,blast-of-rice,183,74,307,98
image (15).jpg,320,210,blast-of-rice,62,123,248,169
image (2).jpg,1024,768,blast-of-rice,235,371,455,493
image (2).jpg,1024,768,blast-of-rice,576,251,842,371
image (3).jpg,900,1200,blast-of-rice,356,576,385,699
image (3).jpg,900,1200,blast-of-rice,544,543,576,644
image (3).jpg,900,1200,blast-of-rice,547,700,571,819
image (3).jpg,900,1200,blast-of-rice,519,859,564,1104
image (3).jpg,900,1200,blast-of-rice,773,721,800,811
image (3).jpg,900,1200,blast-of-rice,755,845,772,927
image (3).jpg,900,1200,blast-of-rice,365,335,396,556
image (3).jpg,900,1200,blast-of-rice,184,685,215,807
image (3).jpg,900,1200,blast-of-rice,175,836,209,919
image (4).jpg,720,540,blast-of-rice,287,212,668,325
image (4).jpg,720,540,blast-of-rice,143,322,414,428
image (4).jpg,720,540,blast-of-rice,14,138,287,257
image (5).jpg,720,540,blast-of-rice,468,75,534,135
image (5).jpg,720,540,blast-of-rice,542,78,582,118
image (5).jpg,720,540,blast-of-rice,650,105,697,135
image (5).jpg,720,540,blast-of-rice,300,195,346,213
image (5).jpg,720,540,blast-of-rice,132,442,155,457
image (5).jpg,720,540,blast-of-rice,203,432,265,479
image (5).jpg,720,540,blast-of-rice,95,155,194,219
image (6).jpg,720,540,blast-of-rice,143,173,596,431
image (7).jpg,650,423,blast-of-rice,54,161,155,224
image (7).jpg,650,423,blast-of-rice,323,149,395,180
image (7).jpg,650,423,blast-of-rice,486,222,574,254
image (8).jpg,650,719,blast-of-rice,288,254,342,353
image (8).jpg,650,719,blast-of-rice,332,84,358,165
image (9).jpg,300,247,blast-of-rice,113,41,196,190
image (9).jpg,300,247,blast-of-rice,220,49,246,82
