filename,width,height,class,xmin,ymin,xmax,ymax
image (1).jpg,768,512,grey-spot,104,328,232,444
image (1).jpg,768,512,grey-spot,388,169,481,280
image (1).jpg,768,512,grey-spot,537,39,653,146
image (1).jpg,768,512,grey-spot,81,121,141,177
image (10).jpg,1300,1353,grey-spot,347,363,685,746
image (10).jpg,1300,1353,grey-spot,72,799,258,1086
image (10).jpg,1300,1353,grey-spot,639,417,966,642
image (10).jpg,1300,1353,grey-spot,1076,334,1300,718
image (11).jpg,900,675,grey-spot,176,129,254,195
image (11).jpg,900,675,grey-spot,490,88,608,191
image (11).jpg,900,675,grey-spot,442,260,643,377
image (11).jpg,900,675,grey-spot,408,471,665,620
image (12).jpg,693,520,grey-spot,234,213,394,340
image (2).jpg,772,511,grey-spot,209,81,508,358
image (3).jpg,520,390,grey-spot,92,103,120,138
image (3).jpg,520,390,grey-spot,70,95,92,124
image (3).jpg,520,390,grey-spot,42,126,67,147
image (3).jpg,520,390,grey-spot,74,190,100,211
image (3).jpg,520,390,grey-spot,29,157,62,179
image (3).jpg,520,390,grey-spot,245,120,276,147
image (3).jpg,520,390,grey-spot,299,110,333,150
image (3).jpg,520,390,grey-spot,321,156,349,174
image (3).jpg,520,390,grey-spot,241,293,278,336
image (3).jpg,520,390,grey-spot,278,228,310,266
image (3).jpg,520,390,grey-spot,215,207,244,236
image (3).jpg,520,390,grey-spot,389,287,406,325
image (4).jpg,600,458,grey-spot,250,143,354,225
image (5).jpg,300,400,grey-spot,98,170,160,234
image (5).jpg,300,400,grey-spot,234,204,290,258
image (6).jpg,300,196,grey-spot,105,57,140,99
image (6).jpg,300,196,grey-spot,79,147,117,172
image (7).jpg,300,196,grey-spot,105,57,137,96
image (7).jpg,300,196,grey-spot,87,143,114,171
image (8).jpg,800,501,grey-spot,345,202,479,356
image (9).jpg,385,120,grey-spot,220,41,265,88
image (9).jpg,385,120,grey-spot,296,23,365,73
image (9).jpg,385,120,grey-spot,43,63,54,76
