filename,width,height,class,xmin,ymin,xmax,ymax
image (1).jpg,530,397,black-spot-of-rose,247,176,327,207
image (1).jpg,530,397,black-spot-of-rose,208,181,245,222
image (1).jpg,530,397,black-spot-of-rose,221,220,291,240
image (1).jpg,530,397,black-spot-of-rose,130,245,173,281
image (1).jpg,530,397,black-spot-of-rose,117,283,178,319
image (1).jpg,530,397,black-spot-of-rose,183,261,212,287
image (10).jpg,250,163,black-spot-of-rose,105,21,133,50
image (10).jpg,250,163,black-spot-of-rose,55,48,76,73
image (10).jpg,250,163,black-spot-of-rose,95,55,120,68
image (10).jpg,250,163,black-spot-of-rose,101,75,125,102
image (10).jpg,250,163,black-spot-of-rose,27,80,61,102
image (10).jpg,250,163,black-spot-of-rose,144,64,183,97
image (10).jpg,250,163,black-spot-of-rose,156,132,185,155
image (10).jpg,250,163,black-spot-of-rose,192,74,215,106
image (11).jpg,230,424,black-spot-of-rose,116,255,173,309
image (11).jpg,230,424,black-spot-of-rose,168,180,212,235
image (11).jpg,230,424,black-spot-of-rose,169,116,211,161
image (11).jpg,230,424,black-spot-of-rose,88,89,122,137
image (12).jpg,1200,781,black-spot-of-rose,247,241,375,353
image (12).jpg,1200,781,black-spot-of-rose,490,104,649,245
image (12).jpg,1200,781,black-spot-of-rose,450,271,573,359
image (12).jpg,1200,781,black-spot-of-rose,495,362,617,492
image (12).jpg,1200,781,black-spot-of-rose,711,295,910,440
image (12).jpg,1200,781,black-spot-of-rose,751,620,894,737
image (13).jpg,250,158,black-spot-of-rose,67,1,152,68
image (13).jpg,250,158,black-spot-of-rose,59,71,236,147
image (14).jpg,250,181,black-spot-of-rose,159,125,221,154
image (14).jpg,250,181,black-spot-of-rose,177,80,216,122
image (14).jpg,250,181,black-spot-of-rose,121,106,152,130
image (14).jpg,250,181,black-spot-of-rose,116,26,143,54
image (15).jpg,768,509,black-spot-of-rose,263,323,290,391
image (15).jpg,768,509,black-spot-of-rose,301,302,338,355
image (15).jpg,768,509,black-spot-of-rose,381,273,477,433
image (15).jpg,768,509,black-spot-of-rose,514,247,615,328
image (15).jpg,768,509,black-spot-of-rose,497,341,615,395
image (15).jpg,768,509,black-spot-of-rose,188,130,253,181
image (15).jpg,768,509,black-spot-of-rose,247,184,321,253
image (15).jpg,768,509,black-spot-of-rose,322,99,408,164
image (15).jpg,768,509,black-spot-of-rose,439,95,507,168
image (2).jpg,3264,2448,black-spot-of-rose,546,1757,820,2124
image (2).jpg,3264,2448,black-spot-of-rose,1416,1257,1694,1491
image (2).jpg,3264,2448,black-spot-of-rose,1016,779,1353,1039
image (2).jpg,3264,2448,black-spot-of-rose,2398,1372,2798,1861
image (2).jpg,3264,2448,black-spot-of-rose,2172,861,2468,1117
image (2).jpg,3264,2448,black-spot-of-rose,2550,987,2750,1254
image (2).jpg,3264,2448,black-spot-of-rose,427,576,690,779
image (3).jpg,236,236,black-spot-of-rose,67,113,83,133
image (3).jpg,236,236,black-spot-of-rose,60,184,75,224
image (3).jpg,236,236,black-spot-of-rose,17,60,31,73
image (3).jpg,236,236,black-spot-of-rose,31,59,41,74
image (3).jpg,236,236,black-spot-of-rose,71,88,85,104
image (4).jpg,1600,1200,black-spot-of-rose,116,914,223,976
image (4).jpg,1600,1200,black-spot-of-rose,562,345,634,453
image (4).jpg,1600,1200,black-spot-of-rose,525,67,587,129
image (4).jpg,1600,1200,black-spot-of-rose,178,782,223,822
image (4).jpg,1600,1200,black-spot-of-rose,273,754,325,820
image (4).jpg,1600,1200,black-spot-of-rose,193,1003,273,1049
image (4).jpg,1600,1200,black-spot-of-rose,296,903,367,956
image (4).jpg,1600,1200,black-spot-of-rose,407,954,480,1020
image (4).jpg,1600,1200,black-spot-of-rose,254,840,360,891
image (4).jpg,1600,1200,black-spot-of-rose,834,749,954,816
image (4).jpg,1600,1200,black-spot-of-rose,829,845,943,960
image (4).jpg,1600,1200,black-spot-of-rose,589,882,683,958
image (4).jpg,1600,1200,black-spot-of-rose,776,916,878,996
image (4).jpg,1600,1200,black-spot-of-rose,1049,711,1143,825
image (4).jpg,1600,1200,black-spot-of-rose,1143,703,1200,785
image (4).jpg,1600,1200,black-spot-of-rose,436,1093,494,1156
image (4).jpg,1600,1200,black-spot-of-rose,1218,813,1305,878
image (5).jpg,399,600,black-spot-of-rose,75,136,115,177
image (5).jpg,399,600,black-spot-of-rose,119,144,155,186
image (5).jpg,399,600,black-spot-of-rose,145,117,193,157
image (5).jpg,399,600,black-spot-of-rose,107,325,185,464
image (5).jpg,399,600,black-spot-of-rose,209,364,274,410
image (5).jpg,399,600,black-spot-of-rose,189,419,332,562
image (6).jpg,3797,2850,black-spot-of-rose,1145,2015,1506,2237
image (6).jpg,3797,2850,black-spot-of-rose,1024,1263,1332,1507
image (6).jpg,3797,2850,black-spot-of-rose,1189,311,1428,524
image (6).jpg,3797,2850,black-spot-of-rose,919,463,1089,698
image (6).jpg,3797,2850,black-spot-of-rose,1163,911,1358,1115
image (6).jpg,3797,2850,black-spot-of-rose,1824,1694,2171,1989
image (6).jpg,3797,2850,black-spot-of-rose,2354,1628,2532,1868
image (6).jpg,3797,2850,black-spot-of-rose,2063,746,2450,1011
image (6).jpg,3797,2850,black-spot-of-rose,411,2233,580,2385
image (6).jpg,3797,2850,black-spot-of-rose,2071,1363,2211,1611
image (6).jpg,3797,2850,black-spot-of-rose,2506,1902,2980,2155
image (6).jpg,3797,2850,black-spot-of-rose,2789,1650,3232,1876
image (7).jpg,472,472,black-spot-of-rose,166,285,280,392
image (7).jpg,472,472,black-spot-of-rose,294,198,397,319
image (7).jpg,472,472,black-spot-of-rose,101,100,184,183
image (7).jpg,472,472,black-spot-of-rose,77,182,185,258
image (7).jpg,472,472,black-spot-of-rose,284,399,366,469
image (8).jpg,1440,860,black-spot-of-rose,655,389,833,462
image (8).jpg,1440,860,black-spot-of-rose,847,387,916,464
image (8).jpg,1440,860,black-spot-of-rose,996,346,1094,414
image (8).jpg,1440,860,black-spot-of-rose,931,611,1078,781
image (8).jpg,1440,860,black-spot-of-rose,1118,694,1216,802
image (9).jpg,220,220,black-spot-of-rose,68,35,212,186
